setting,scheme,predictor,auroc_mean,auroc_sd,n_folds
Dyck-1,random 150/120 splits (x50),ID hierarchical-head rule,0.8504944586530264,0.028324370915026667,50
Dyck-1,random 150/120 splits (x50),Five attention statistics (logistic regression),0.8425745950554134,0.02621184484411476,50
Dyck-1,random 150/120 splits (x50),Five attention statistics (random forest),0.8807019039499859,0.022916545804339997,50
Dyck-1,random 150/120 splits (x50),Hyperparameters alone (logistic regression),0.9533844842284741,0.017690213613187254,50
Dyck-1,"leave one (depth, weight decay) setting out",ID hierarchical-head rule,0.7349294102948525,0.23353892620448677,6
Dyck-1,"leave one (depth, weight decay) setting out",Five attention statistics (logistic regression),0.6216991950453344,0.2514090421882155,6
Dyck-1,"leave one (depth, weight decay) setting out",Five attention statistics (random forest),0.750966034839723,0.18821955125575543,6
Dyck-1,"leave one (depth, weight decay) setting out",Hyperparameters alone (logistic regression),0.5399978582137502,0.19565388838959846,6
question formation,"fixed rule, all 79 models",Main Auxiliary-Detecting head (first three layers),0.7633333333333333,,1
question formation,5-fold CV (x20),Five attention statistics (logistic regression),0.7463000000000001,0.11229613746410147,100
question formation,5-fold CV (x20),Five attention statistics (random forest),0.720090909090909,0.12382268006375811,100
