id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
zbxb7y9g,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
8ihgvt2l,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
ypzdbh43,1,2,0.0,0.554,0.0,-0.554,-0.554,0.554,False,False,neither
yhytiuc6,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
ovoo94zl,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
iqaes43g,1,2,0.0,0.548,0.045,-0.503,-0.547,0.548,False,False,neither
6kqrvqhq,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
of8q8xdv,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
dnyvkhlk,1,2,0.0,0.053,0.0,-0.053,-0.053,0.053,False,False,neither
vh846wlm,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
jls9py1o,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
mgz4iva7,1,2,0.0,0.508,0.001,-0.507,-0.507,0.508,False,False,neither
l3w2q7o6,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
7bk9rh3h,1,2,0.001,0.009,0.028,0.019000000000000003,0.019000000000000003,0.009,False,False,neither
zl2lnxim,1,2,0.0,0.554,0.001,-0.553,-0.554,0.554,False,False,neither
8zhn2ire,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
uy24vgki,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
cwqji22i,1,2,0.0,0.553,0.009,-0.544,-0.553,0.553,False,False,neither
no73f476,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
jt9mhhex,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
zzjaz98q,1,2,0.0,0.0,0.108,0.108,0.105,0.0,False,False,neither
xj6mwipd,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
fodtt1od,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
lc839yij,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neither
tsqptx25,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
z8324uk3,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
md0hliat,1,2,0.0,0.0,0.003,0.003,0.001,0.0,False,False,neither
p4dafhyj,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
5oh56u9i,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
zjtpi60l,1,2,0.0,0.07,0.0,-0.07,-0.07,0.07,False,False,neither
l3y2ccxm,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
4yx9m7wz,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
0u2jxibz,1,2,0.0,0.342,0.024,-0.318,-0.334,0.342,False,False,neither
ptbvr5ya,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
bz9neuts,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
0htm45ao,1,2,0.0,0.556,0.0,-0.556,-0.556,0.556,False,False,neither
rfexlvg9,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
jl215v93,1,2,0.001,0.001,0.001,0.0,0.0,0.001,False,False,neither
cl58du42,1,2,0.0,0.197,0.0,-0.197,-0.197,0.197,False,False,neither
u5d6anhu,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
3e5qgrm2,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
g0qzzup8,1,2,0.0,0.415,0.0,-0.415,-0.415,0.415,False,False,neither
rjzaa8z4,1,2,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
dyd9jqjs,1,2,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
khq096d1,1,2,0.0,0.335,0.1,-0.23500000000000001,-0.29000000000000004,0.335,False,False,neither
lbumrsrs,2,2,0.01,0.938,0.993,0.05500000000000005,0.05500000000000005,0.938,True,False,sign-matching
g0drb6n9,2,2,0.001,0.817,0.918,0.10100000000000009,0.09800000000000009,0.817,True,False,sign-matching
t8nwv4de,2,2,0.0,0.91,0.508,-0.402,-0.43600000000000005,0.91,False,True,violation-detecting
al0zr865,2,2,0.01,0.874,0.951,0.07699999999999996,0.07799999999999996,0.874,True,False,sign-matching
