id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
zbxb7y9g,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
zbxb7y9g,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
8ihgvt2l,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,neither
8ihgvt2l,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
ypzdbh43,1,2,0.0,1,1,0.554,0.554,0.0,0.0,0.554,0.0170000009238719,0.0,neither
ypzdbh43,1,2,0.0,1,2,0.554,0.0,-0.554,-0.554,0.554,0.0,0.034,neither
yhytiuc6,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.003,neither
yhytiuc6,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
ovoo94zl,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0230000000447034,0.0,neither
ovoo94zl,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
iqaes43g,1,2,0.0,1,1,0.548,0.554,0.006000000000000005,0.006000000000000005,0.548,0.0080000003799796,0.003,neither
iqaes43g,1,2,0.0,1,2,0.548,0.0,-0.548,-0.548,0.548,0.0,0.044,neither
6kqrvqhq,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,neither
6kqrvqhq,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
of8q8xdv,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0099999997764825,0.0,neither
of8q8xdv,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
dnyvkhlk,1,2,0.0,1,1,0.053,0.036,-0.017,-0.03,0.053,0.0260000005364418,0.012,neither
dnyvkhlk,1,2,0.0,1,2,0.053,0.0,-0.053,-0.053,0.053,0.0,0.031,neither
vh846wlm,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
vh846wlm,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.003,neither
jls9py1o,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
jls9py1o,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0130000002682209,0.0,neither
mgz4iva7,1,2,0.0,1,1,0.508,0.007,-0.501,-0.506,0.508,0.0,0.035,neither
mgz4iva7,1,2,0.0,1,2,0.508,0.413,-0.09500000000000003,-0.09700000000000003,0.508,0.0240000002086162,0.0,neither
l3w2q7o6,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
l3w2q7o6,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0070000002160668,0.0,neither
