model_checkpoint,run,contains,n_target_heads,n_layers,n_heads,ood_base,id_base,ood_uniform_alltogether,ood_mean_alltogether,id_uniform_alltogether,id_mean_alltogether
question_D_hier90_linear10_two_phase_200k_seed100_13748191__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed100_13748191,True,3,6,8,0.9998416900634766,1.0,0.9988284111022949,0.9989338517189026,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed101_13911728__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed101_13911728,False,0,6,8,0.2629040479660034,1.0,0.2629040479660034,0.2629040479660034,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed102_13911850__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed102_13911850,False,0,6,8,0.0023098033852875233,1.0,0.0023098033852875233,0.0023098033852875233,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed103_13911974__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed103_13911974,True,1,6,8,0.005160856992006302,1.0,0.006022029090672731,0.005649606231600046,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed104_13912033__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed104_13912033,True,3,6,8,0.043729569762945175,1.0,0.0403689481317997,0.060575973242521286,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed105_14927986__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed105_14927986,False,0,6,8,0.00016891336417756975,1.0,0.00016891336417756975,0.00016891336417756975,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed106_13912560__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed106_13912560,True,2,6,8,0.8871936798095703,1.0,0.8757178783416748,0.8706359267234802,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed107_13913762__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed107_13913762,False,0,6,8,0.9998296499252319,1.0,0.9998296499252319,0.9998296499252319,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed108_13913763,True,8,6,8,0.2903500497341156,1.0,0.10013151913881302,0.33812421560287476,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed109_14928587__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed109_14928587,True,2,6,8,0.9541847109794617,1.0,0.9566509127616882,0.9646900296211243,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed110_13913889__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed110_13913889,True,1,6,8,0.6320009827613831,1.0,0.506935179233551,0.6216936707496643,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed111_14928914__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed111_14928914,True,1,6,8,0.9729437232017517,1.0,0.9680501818656921,0.9719206690788269,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed112_14929148__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed112_14929148,True,1,6,8,0.9610030651092529,1.0,0.9623299837112427,0.9613704681396484,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed113_13914003__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed113_13914003,False,0,6,8,0.7567592859268188,1.0,0.7567592859268188,0.7567592859268188,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed114_13914459__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed114_13914459,False,0,6,8,0.23480944335460663,1.0,0.23480944335460663,0.23480944335460663,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed115_13918064__checkpoint_300000,question_D_hier90_linear10_two_phase_200k_seed115_13918064,True,2,6,8,0.024807041510939598,1.0,0.010607181116938591,0.009666373953223228,1.0,1.0
