model_checkpoint,contains,layer,head,ood_base,id_base,ood_uniform,ood_mean,id_uniform,id_mean
question_D_hier90_linear10_two_phase_200k_seed100_13748191__checkpoint_300000,True,0,4,0.9998416900634766,1.0,0.9998632669448853,0.9998352527618408,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed100_13748191__checkpoint_300000,True,0,7,0.9998416900634766,1.0,0.999880313873291,0.9998769760131836,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed100_13748191__checkpoint_300000,True,2,3,0.9998416900634766,1.0,0.998812735080719,0.9989336133003235,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed103_13911974__checkpoint_300000,True,2,1,0.005160856992006302,1.0,0.006022029090672731,0.005649606231600046,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed104_13912033__checkpoint_300000,True,1,3,0.043729569762945175,1.0,0.05001651495695114,0.051643699407577515,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed104_13912033__checkpoint_300000,True,1,7,0.043729569762945175,1.0,0.051399171352386475,0.051451392471790314,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed104_13912033__checkpoint_300000,True,2,6,0.043729569762945175,1.0,0.034325338900089264,0.05001840367913246,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed106_13912560__checkpoint_300000,True,2,0,0.8871936798095703,1.0,0.8899207711219788,0.8963887691497803,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed106_13912560__checkpoint_300000,True,2,5,0.8871936798095703,1.0,0.8796936869621277,0.8642725944519043,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,1,2,0.2903500497341156,1.0,0.20331239700317383,0.22862280905246735,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,1,3,0.2903500497341156,1.0,0.3153010904788971,0.3513264060020447,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,1,4,0.2903500497341156,1.0,0.23449388146400452,0.24371188879013062,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,1,5,0.2903500497341156,1.0,0.31674155592918396,0.3242841362953186,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,2,0,0.2903500497341156,1.0,0.08015336096286774,0.14659620821475983,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,2,1,0.2903500497341156,1.0,0.296251505613327,0.2925410270690918,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,2,3,0.2903500497341156,1.0,0.43102097511291504,0.417630672454834,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,2,4,0.2903500497341156,1.0,0.108467236161232,0.16936855018138885,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed109_14928587__checkpoint_300000,True,2,3,0.9541847109794617,1.0,0.964755654335022,0.9686358571052551,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed109_14928587__checkpoint_300000,True,2,6,0.9541847109794617,1.0,0.9492731690406799,0.9537420868873596,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed110_13913889__checkpoint_300000,True,2,5,0.6320009827613831,1.0,0.506935179233551,0.6216936707496643,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed111_14928914__checkpoint_300000,True,2,7,0.9729437232017517,1.0,0.9680501818656921,0.9719206690788269,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed112_14929148__checkpoint_300000,True,1,5,0.9610030651092529,1.0,0.9623299837112427,0.9613704681396484,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed115_13918064__checkpoint_300000,True,0,5,0.024807041510939598,1.0,0.026462869718670845,0.025316061452031136,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed115_13918064__checkpoint_300000,True,2,2,0.024807041510939598,1.0,0.011333541013300419,0.009467126801609993,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed116_13918811__checkpoint_300000,True,1,2,0.9999755620956421,1.0,0.9999756813049316,0.9999756813049316,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed116_13918811__checkpoint_300000,True,2,6,0.9999755620956421,1.0,0.9999754428863525,0.999975323677063,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed117_13919715__checkpoint_300000,True,2,4,0.6380727887153625,1.0,0.6968284845352173,0.6708630919456482,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed120_13884811__checkpoint_300000,True,2,4,0.9964649677276611,1.0,0.9984681606292725,0.9969635009765625,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed42_12625361__checkpoint_300000,True,2,7,0.31112825870513916,1.0,0.23767654597759247,0.2706022262573242,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed43_12625510__checkpoint_300000,True,2,3,0.2509067952632904,1.0,0.28393176198005676,0.2829791307449341,1.0,1.0
question_D_hier90_linear10_two_phase_200k_seed44_12625511__checkpoint_300000,True,2,3,0.8208314180374146,1.0,0.8605844974517822,0.8516296744346619,1.0,1.0
