model_checkpoint,contains_matrix_aux_retrieval_head,matching_heads,n_matching_heads,ood_accuracy
question_D_hier90_linear10_two_phase_200k_seed100_13748191__checkpoint_300000,True,"((0, 4), (0, 7), (2, 3))",3,0.99995143386
question_D_hier90_linear10_two_phase_200k_seed101_13911728__checkpoint_300000,False,(),0,0.2570794013144195
question_D_hier90_linear10_two_phase_200k_seed102_13911850__checkpoint_300000,False,(),0,0.00251566912862255
question_D_hier90_linear10_two_phase_200k_seed103_13911974__checkpoint_300000,True,"((2, 1),)",1,0.01033312651209247
question_D_hier90_linear10_two_phase_200k_seed104_13912033__checkpoint_300000,True,"((1, 3), (1, 7), (2, 6))",3,0.045379864295957154
question_D_hier90_linear10_two_phase_200k_seed105_14927986__checkpoint_300000,False,(),0,4.11689938691705e-05
question_D_hier90_linear10_two_phase_200k_seed106_13912560__checkpoint_300000,True,"((2, 0), (2, 5))",2,0.8989183475863393
question_D_hier90_linear10_two_phase_200k_seed107_13913762__checkpoint_300000,False,(),0,0.9996217278259001
question_D_hier90_linear10_two_phase_200k_seed108_13913763__checkpoint_300000,True,"((1, 2), (1, 3), (1, 4), (1, 5), (2, 0), (2, 1), (2, 3), (2, 4))",8,0.2841247500441907
question_D_hier90_linear10_two_phase_200k_seed109_14928587__checkpoint_300000,True,"((2, 3), (2, 6))",2,0.9505013732951023
question_D_hier90_linear10_two_phase_200k_seed110_13913889__checkpoint_300000,True,"((2, 5),)",1,0.6174459058963649
question_D_hier90_linear10_two_phase_200k_seed111_14928914__checkpoint_300000,True,"((2, 7),)",1,0.9730344676974771
question_D_hier90_linear10_two_phase_200k_seed112_14929148__checkpoint_300000,True,"((1, 5),)",1,0.9669585474972239
question_D_hier90_linear10_two_phase_200k_seed113_13914003__checkpoint_300000,False,(),0,0.7521345040859396
question_D_hier90_linear10_two_phase_200k_seed114_13914459__checkpoint_300000,False,(),0,0.24710389044857178
question_D_hier90_linear10_two_phase_200k_seed115_13918064__checkpoint_300000,True,"((0, 5), (2, 2))",2,0.023365922718621108
question_D_hier90_linear10_two_phase_200k_seed116_13918811__checkpoint_300000,True,"((1, 2), (2, 6))",2,0.999975643259
question_D_hier90_linear10_two_phase_200k_seed117_13919715__checkpoint_300000,True,"((2, 4),)",1,0.6488617608911863
question_D_hier90_linear10_two_phase_200k_seed118_13919952__checkpoint_300000,False,(),0,0.02780061777353212
question_D_hier90_linear10_two_phase_200k_seed119_13920189__checkpoint_300000,False,(),0,0.04692234111897115
question_D_hier90_linear10_two_phase_200k_seed120_13884811__checkpoint_300000,True,"((2, 4),)",1,0.9937538698122884
question_D_hier90_linear10_two_phase_200k_seed42_12625361__checkpoint_300000,True,"((2, 7),)",1,0.3004249039281398
question_D_hier90_linear10_two_phase_200k_seed43_12625510__checkpoint_300000,True,"((2, 3),)",1,0.23943986146571186
question_D_hier90_linear10_two_phase_200k_seed44_12625511__checkpoint_300000,True,"((2, 3),)",1,0.8190842646662546
question_D_hier90_linear10_two_phase_200k_seed45_12625512__checkpoint_300000,True,"((2, 1), (2, 7))",2,0.9999789672300001
question_D_hier90_linear10_two_phase_200k_seed46_12625513__checkpoint_300000,True,"((2, 3),)",1,0.7066093687934847
question_D_hier90_linear10_two_phase_200k_seed47_12625804__checkpoint_300000,True,"((1, 1), (2, 1), (2, 2))",3,0.882916071010839
question_D_hier90_linear10_two_phase_200k_seed48_12625805__checkpoint_300000,True,"((2, 5),)",1,0.0925878092349321
